C4d_2015-test
aeg, juhtivus
 1640, 129593
 1641, 129593
 1642, 129576
 1643, 129582
 1644, 129608
 1645, 129632
 1646, 129565
 1647, 129602
 1648, 129617
 1649, 129591
 1650, 129576
 1651, 129617
 1652, 129595
 1653, 129579
 1654, 129600
 1655, 129590
 1656, 129605
 1657, 129576
 1658, 129609
 1659, 129576
 1660, 129593
 1661, 129572
 1662, 129566
 1663, 129609
 1664, 129581
 1665, 129580
 1666, 129591
 1667, 129559
 1668, 129578
 1669, 129593
 1670, 129575
 1671, 129573
 1672, 129585
 1673, 129560
 1674, 129581
 1675, 129567
 1676, 129578
 1677, 129558
 1678, 129536
 1679, 129573
 1680, 129585
 1681, 129565
 1682, 129587
 1683, 129577
 1684, 129568
 1685, 129581
 1686, 129588
 1687, 129529
 1688, 129567
 1689, 129561
 1690, 129520
 1691, 129550
 1692, 129569
 1693, 129563
 1694, 129573
 1695, 129563
 1696, 129535
 1697, 129554
 1698, 129587
 1699, 129579
 1700, 129543
 1701, 129555
 1702, 129550
 1703, 129564
 1704, 129555
 1705, 129532
 1706, 129539
 1707, 129575
 1708, 129572
 1709, 129523
 1710, 129558
 1711, 129522
 1712, 129542
 1713, 129544
 1714, 129532
 1715, 129546
 1716, 129542
 1717, 129563
 1718, 129528
 1719, 129531
 1720, 129548
 1721, 129536
 1722, 129528
 1723, 129563
 1724, 129532
 1725, 129544
 1726, 129519
 1727, 129523
 1728, 129545
 1729, 129516
 1730, 129532
 1731, 129552
 1732, 129518
 1733, 129495
 1734, 129490
 1735, 129539
 1736, 129525
 1737, 129505
 1738, 129493
 1739, 129528
 1740, 129496
 1741, 129505
 1742, 129503
 1743, 129513
 1744, 129518
 1745, 129524
 1746, 129521
 1747, 129515
 1748, 129496
 1749, 129502
 1750, 129479
 1751, 129462
 1752, 129506
 1753, 129521
 1754, 129498
 1755, 129522
 1756, 129473
 1757, 129507
 1758, 129496
 1759, 129485
 1760, 129520
 1761, 129483
 1762, 129495
 1763, 129493
 1764, 129490
 1765, 129481
 1766, 129477
 1767, 129487
 1768, 129484
 1769, 129474
 1770, 129505
 1771, 129492
 1772, 129482
 1773, 129474
 1774, 129458
 1775, 129516
 1776, 129483
 1777, 129484
 1778, 129484
 1779, 129478
 1780, 129463
 1781, 129504
 1782, 129460
 1783, 129471
 1784, 129447
 1785, 129483
 1786, 129471
 1787, 129464
 1788, 129472
 1789, 129457
 1790, 129458
 1791, 129454
 1792, 129467
 1793, 129452
 1794, 129458
 1795, 129453
 1796, 129472
 1797, 129469
 1798, 129439
 1799, 129453
 1800, 129497
 1801, 129437
 1802, 129433
 1803, 129454
 1804, 129423
 1805, 129482
 1806, 129430
 1807, 129469
 1808, 129479
 1809, 129440
 1810, 129459
 1811, 129452
 1812, 129445
 1813, 129436
 1814, 129460
 1815, 129473
 1816, 129452
 1817, 129431
 1818, 129477
 1819, 129450
 1820, 129433
 1821, 129462
 1822, 129457
 1823, 129429
 1824, 129417
 1825, 129452
 1826, 129398
 1827, 129462
 1828, 129453
 1829, 129434
 1830, 129432
 1831, 129441
 1832, 129457
 1833, 129397
 1834, 129429
 1835, 129422
 1836, 129433
 1837, 129419
 1838, 129423
 1839, 129425
 1840, 129425
 1841, 129421
 1842, 129433
 1843, 129409
 1844, 129426
 1845, 129432
 1846, 129409
 1847, 129441
 1848, 129392
 1849, 129411
 1850, 129404
 1851, 129399
 1852, 129385
 1853, 129395
 1854, 129448
 1855, 129396
 1856, 129414
 1857, 129414
 1858, 129398
 1859, 129413
 1860, 129407
 1861, 129444
 1862, 129442
 1863, 129431
 1864, 129415
